time,latitude,longitude,mag
2014-04-28T22:44:13.000Z,36.8051,-97.6504,2.6
2014-04-29T13:59:11.610Z,37.2098,-97.9146,2.7
2014-04-30T08:06:52.200Z,36.7764,-98.073,3
2014-05-01T03:37:58.000Z,36.7066,-97.6735,2.5
2014-05-01T04:39:29.500Z,36.7035,-98.0299,2.8
2014-05-05T02:48:08.300Z,36.6742,-97.7656,2.8
2014-05-08T22:40:05.000Z,36.893,-97.6649,2.5
2014-05-11T19:29:34.500Z,36.9073,-97.6624,3
2014-05-14T16:06:26.300Z,36.8762,-97.6651,3.1
2014-05-15T00:28:52.700Z,36.7981,-97.6599,3.3
2014-05-15T21:57:37.700Z,36.9049,-98.2627,2.5
2014-05-16T19:58:39.700Z,36.7382,-97.9158,2.5
2014-05-21T17:58:43.830Z,37.1283,-97.6426,2.8
2014-05-22T05:54:37.220Z,37.08,-97.8832,2.5
2014-05-22T06:30:19.060Z,37.0731,-97.8853,2.5
2014-05-22T18:01:21.600Z,36.7607,-98.3618,2.5
2014-05-24T08:33:13.190Z,37.105,-98.0353333,2.71
2014-05-25T09:10:34.900Z,36.7981,-97.6673,3
2014-05-27T00:30:43.000Z,36.7663,-98.7401,2.5
2014-05-27T07:39:20.700Z,36.7638,-98.7413,2.5
2014-05-27T08:57:13.100Z,36.8183,-97.7593,2.5
2014-05-27T09:12:57.200Z,36.8159,-97.7492,2.6
2014-05-27T17:56:32.100Z,36.8657,-97.712,2.8
2014-05-28T07:05:46.400Z,36.8168,-97.7601,2.6
2014-05-29T08:24:05.700Z,36.8151,-97.7515,2.7
2014-05-30T14:32:16.100Z,36.8131,-97.7597,3.4
2014-05-30T22:00:50.190Z,37.0856,-97.6682,2.8
2014-05-30T22:53:45.890Z,37.116,-97.6423333,2.81
2014-06-01T00:38:37.460Z,37.1072,-97.658,2.7
2014-06-02T05:54:03.700Z,36.8601,-97.8604,2.5
2014-06-07T15:54:02.600Z,36.8715,-97.4052,2.6
2014-06-09T18:56:47.000Z,36.8745,-97.3985,2.5
2014-06-09T21:01:58.100Z,36.8737,-97.405,2.5
2014-06-09T21:49:49.770Z,37.114,-97.6445,2.68
2014-06-11T09:42:29.600Z,36.9293,-97.6495,3
2014-06-11T11:47:19.400Z,36.6952,-98.0393,2.5
2014-06-14T21:26:56.500Z,36.7457,-98.4141,2.5
2014-06-15T13:51:25.900Z,36.8663,-97.8567,3
2014-06-15T17:33:01.600Z,36.8326,-97.6391,3
2014-06-17T14:36:36.800Z,36.6921,-97.6951,2.6
2014-06-17T23:29:02.100Z,36.738,-97.904,2.6
2014-06-18T17:44:40.100Z,36.721,-97.8958,3
