time,latitude,longitude,mag
2010-10-06T02:04:54.000Z,35.616,-97.257,2.8
2010-10-13T14:06:30.000Z,35.192,-97.32,4.4
2010-10-18T14:05:03.000Z,36.037,-97.398,2.5
2010-10-19T03:10:47.000Z,35.018,-95.584,2.7
2010-10-19T17:53:17.000Z,35.136,-97.333,2.8
2010-10-21T04:16:40.000Z,35.06,-95.606,2.5
2010-10-25T20:53:13.000Z,34.874,-97.741,3.2
2010-10-28T09:52:52.000Z,35.591,-97.234,2.5
2010-10-28T09:59:53.000Z,35.59,-97.243,2.5
2010-10-29T04:18:39.000Z,35.59,-97.238,2.7
2010-11-02T16:35:37.000Z,35.557,-97.299,2.5
2010-11-24T22:48:30.000Z,35.612,-97.246,3.9
2010-11-24T23:45:13.000Z,35.614,-97.24,3.1
2010-11-25T16:09:03.000Z,35.621,-97.241,2.5
2010-11-25T16:10:03.000Z,35.613,-97.235,2.6
2010-11-25T21:19:56.000Z,35.611,-97.241,2.7
2010-11-28T03:26:47.000Z,35.654,-97.224,3
2010-11-28T03:28:43.000Z,35.612,-97.242,3.5
2010-11-28T13:46:26.000Z,35.619,-97.239,3.3
2010-11-28T17:57:29.000Z,35.617,-97.249,2.5
2010-11-29T05:15:35.000Z,35.618,-97.246,2.6
2010-12-10T02:13:03.000Z,35.492,-96.84,2.6
2010-12-12T01:07:56.000Z,35.431,-96.981,3.2
2010-12-12T01:56:42.000Z,35.444,-96.976,2.8
2010-12-12T03:18:37.000Z,35.433,-96.992,2.9
2010-12-14T06:07:37.000Z,35.611,-97.234,2.6
2010-12-14T17:50:01.000Z,35.44,-96.982,2.5
2010-12-20T11:14:15.000Z,35.579,-97.246,2.5
2010-12-31T11:52:17.000Z,35.536,-97.247,2.6
2011-01-01T18:52:01.000Z,35.837,-96.916,2.8
2011-01-04T18:31:36.000Z,35.556,-97.237,2.9
2011-01-06T06:52:03.000Z,35.569,-97.277,2.8
2011-01-07T05:11:09.000Z,35.435,-96.983,2.5
2011-01-08T08:43:40.000Z,35.612,-97.249,2.7
2011-01-11T22:41:03.000Z,35.84,-96.916,2.6
2011-01-12T12:19:04.000Z,35.516,-97.225,2.7
2011-01-12T21:12:39.000Z,35.506,-97.222,2.6
2011-01-15T10:51:30.000Z,35.509,-97.222,3.4
2011-01-19T03:53:24.000Z,35.621,-97.112,2.8
2011-01-22T08:03:22.000Z,35.611,-97.121,2.5
2011-01-30T06:34:56.000Z,35.609,-97.122,2.5
2011-02-02T12:19:03.730Z,35.627,-97.166,2.6
2011-02-04T02:06:29.000Z,35.48,-97.402,2.6
2011-02-15T23:41:21.000Z,35.539,-97.249,2.5
2011-02-17T05:51:42.000Z,35.615,-97.243,2.5
2011-02-19T05:39:56.000Z,35.751,-99.667,2.7
2011-02-22T06:40:51.000Z,35.434,-97.001,2.8
2011-03-03T02:16:50.000Z,35.45,-97.083,2.8
2011-03-11T10:56:23.000Z,35.45,-97.087,3.1
2011-03-17T01:27:24.000Z,34.854,-97.746,2.7
2011-03-23T00:41:16.000Z,35.571,-97.073,2.8
2011-03-25T17:47:34.000Z,35.43,-96.539,2.6
2011-03-31T05:41:30.000Z,35.439,-96.53,3.2
2011-05-10T04:05:59.000Z,35.458,-97.026,2.7
2011-05-11T09:22:39.000Z,35.713,-97.432,2.5
2011-05-15T05:55:43.000Z,35.437,-96.569,2.9
2011-05-19T02:46:46.000Z,35.586,-97.196,2.8
2011-05-21T12:15:14.000Z,35.584,-97.193,2.7
2011-06-17T06:01:14.000Z,35.616,-97.248,2.5
2011-07-01T09:29:03.000Z,35.632,-97.121,2.6
2011-07-16T05:03:14.000Z,35.414,-96.548,2.5
2011-07-24T03:06:53.000Z,35.418,-96.552,2.5
2011-07-30T03:45:53.000Z,35.499,-97.249,2.7
2011-07-30T03:56:38.000Z,35.499,-97.257,2.6
2011-08-01T01:20:07.000Z,35.522,-97.226,3
2011-08-07T07:34:47.000Z,35.436,-97.449,2.5
2011-08-07T13:01:57.000Z,35.48,-97.372,2.5
2011-08-10T23:48:18.000Z,35.654,-97.301,2.5
2011-08-17T00:26:53.000Z,35.467,-97.366,2.7
2011-08-18T16:50:52.000Z,34.881,-97.744,3
2011-08-22T22:38:38.000Z,35.526,-97.366,2.5
2011-08-23T22:40:40.000Z,35.521,-97.364,2.9
2011-08-31T19:58:25.000Z,35.498,-97.25,3
2011-09-01T00:43:45.000Z,35.624,-97.233,2.6
2011-09-01T05:04:52.000Z,35.657,-97.298,2.5
2011-09-05T01:40:29.000Z,35.665,-97.222,2.7
2011-09-05T13:51:30.000Z,35.524,-97.375,2.7
2011-09-06T00:19:06.000Z,35.466,-97.045,3
2011-09-12T15:35:28.000Z,35.629,-97.244,3.3
2011-09-18T15:44:30.000Z,35.5,-97.245,2.6
2011-10-02T09:21:22.000Z,35.56,-97.283,2.5
2011-10-05T10:40:27.000Z,35.504,-97.232,3
2011-10-13T21:50:53.390Z,35.899,-96.696,2.5
2011-10-18T05:51:27.410Z,35.48,-97.359,2.9
2011-10-23T05:44:02.000Z,35.508,-97.387,2.6
2011-10-23T07:58:35.000Z,35.511,-97.391,2.8
2011-10-28T06:24:57.000Z,35.518,-97.38,3.2
2011-10-28T09:18:46.000Z,35.525,-97.386,3.4
